Timestep,Source1,Source2,Reservoir1,Reservoir2,Demand1,Demand2,Demand3,DummySupply,DummyDemand
1,100,100,0,0,0,0,0,0,0
2,100,100,0,0,0,0,0,0,0
3,100,100,0,0,0,0,0,0,0
4,100,100,0,0,0,0,0,0,0
5,100,100,0,0,0,0,0,0,0
6,100,100,0,0,0,0,0,0,0
7,100,100,0,0,0,0,0,0,0
8,100,100,0,0,0,0,0,0,0
9,100,100,0,0,0,0,0,0,0
10,100,100,0,0,0,0,0,0,0
11,100,100,0,0,0,0,0,0,0
12,100,100,0,0,0,0,0,0,0
13,100,100,0,0,0,0,0,0,0
14,100,100,0,0,0,0,0,0,0
15,100,100,0,0,0,0,0,0,0
16,100,100,0,0,0,0,0,0,0
17,100,100,0,0,0,0,0,0,0
18,100,100,0,0,0,0,0,0,0
19,100,100,0,0,0,0,0,0,0
20,100,100,0,0,0,0,0,0,0
21,100,100,0,0,0,0,0,0,0
22,100,100,0,0,0,0,0,0,0
23,100,100,0,0,0,0,0,0,0
24,100,100,0,0,0,0,0,0,0
25,100,100,0,0,0,0,0,0,0
26,100,100,0,0,0,0,0,0,0
27,100,100,0,0,0,0,0,0,0
28,100,100,0,0,0,0,0,0,0
29,100,100,0,0,0,0,0,0,0
30,100,100,0,0,0,0,0,0,0
31,100,100,0,0,0,0,0,0,0
32,100,100,0,0,0,0,0,0,0
33,100,100,0,0,0,0,0,0,0
34,100,100,0,0,0,0,0,0,0
35,100,100,0,0,0,0,0,0,0
36,100,100,0,0,0,0,0,0,0
37,100,100,0,0,0,0,0,0,0
38,100,100,0,0,0,0,0,0,0
39,100,100,0,0,0,0,0,0,0
40,100,100,0,0,0,0,0,0,0
41,100,100,0,0,0,0,0,0,0
42,100,100,0,0,0,0,0,0,0
43,100,100,0,0,0,0,0,0,0
44,100,100,0,0,0,0,0,0,0
45,100,100,0,0,0,0,0,0,0
46,100,100,0,0,0,0,0,0,0
47,100,100,0,0,0,0,0,0,0
48,100,100,0,0,0,0,0,0,0
49,100,100,0,0,0,0,0,0,0
50,100,100,0,0,0,0,0,0,0
